run_id,timestamp,case_id,trial,model,prompt_version,descriptor_version,backend,execution_mode,negative_case,expected_decision,decision,passed,failure_reason,status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,latency_ms,error,cached_input_tokens,reasoning_tokens,provider_cost_usd,calculated_cost_usd,cost_source,temperature,autonomy,prompt_hash
29f8b969-ae27-4b27-97ad-4d02cdaef391,2026-09-17T13:00:19.922745Z,REF-6002,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,book,True,,completed,4,21376,349,True,0.0021966,16818.26,,16256,0,0.0021966,0.0034158,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,2026-09-17T13:00:51.184384Z,REF-6003,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,book,True,,completed,4,21389,339,True,0.00220215,14174.261,,16128,0,0.00220215,0.00341175,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
2373a73d-ca6e-41c6-99e0-ef8caf1a728e,2026-09-17T13:01:05.362002Z,REF-6004,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16488,258,True,0.001476,6502.808,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.001476,0.002628,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,2026-09-17T13:01:11.867488Z,REF-6005,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,11978,186,True,0.0010731,12564.933,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",11136,0,0.0010731,0.0019083,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
8fd03770-1449-4e1e-9f8c-1db033f6676e,2026-09-17T13:01:24.435331Z,REF-6006,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16471,262,True,0.00147585,11745.535,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.00147585,0.00262785,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
d9737064-67a4-4e97-af25-0506be51f37e,2026-09-17T13:01:36.182506Z,REF-6007,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16525,261,True,0.00148335,11069.05,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.00148335,0.00263535,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
94d55b86-124e-4120-88df-012aa93630f8,2026-09-17T13:01:47.252973Z,REF-6008,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,11987,189,True,0.00107625,13771.343,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",11136,0,0.00107625,0.00191145,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
75c9bbd8-83d3-40f2-a371-108f854a8ecc,2026-09-17T13:02:01.026454Z,REF-6015,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,11993,185,True,0.00107475,12687.625,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",11136,0,0.00107475,0.00190995,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
1f1357b9-a9cd-4235-a661-780b5d693c6c,2026-09-17T13:02:13.717441Z,REF-6016,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16514,252,True,0.0014763,4994.432,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.0014763,0.0026283,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
982e1f15-01af-452b-ba9a-fcd5f7f105ce,2026-09-17T13:02:18.715540Z,REF-6017,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16555,288,True,0.00150405,12508.159,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.00150405,0.00265605,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
c37efe5c-1557-4ce2-9e4f-a163ee428fbf,2026-09-17T13:02:31.227130Z,REF-6018,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16523,269,True,0.00148785,7884.613,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.00148785,0.00263985,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
aef382d7-fdd4-4a43-b198-1dd4dba79a11,2026-09-17T13:02:39.113716Z,REF-6019,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16524,292,True,0.0015018,7676.79,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.0015018,0.0026538,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,2026-09-17T13:02:46.793418Z,REF-6020,1,openai/gpt-4o-mini,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,invalid_model_output,3,16541,281,True,0.00149775,7164.638,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15360,0,0.00149775,0.00264975,provider_reported,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73
