experiment_id,run_id,case_id,trial,status,passed,anomaly_flags,anomaly_count,rule,note
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,completed,True,HIGH_INPUT_TOKENS;HIGH_OUTPUT_TOKENS;HIGH_TURNS;HIGH_COST,4,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,completed,True,HIGH_INPUT_TOKENS;HIGH_OUTPUT_TOKENS;HIGH_TURNS;HIGH_COST,4,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,95189482-9616-453d-9b30-d3c411d99ad0,REF-6028,1,completed,True,HIGH_INPUT_TOKENS;HIGH_OUTPUT_TOKENS;HIGH_TURNS;HIGH_COST,4,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,eb3f914c-d155-4e77-a452-838ac1e5bf02,REF-6029,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,9e74f70e-3a8c-4eb4-934c-ba7dcfbe17f5,REF-6030,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,6c27c1b5-5d75-4604-b6e9-b2dd04d73b93,REF-6031,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,43900332-ff5b-4c9a-b053-10dbfeaa00ed,REF-6032,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
openai_gpt4o_mini_v2,ea91ad9e-b304-4d6c-b4cf-9e363cfdf742,REF-6033,1,invalid_model_output,False,,0,strictly above within-battery p95; loop=max_turns or adjacent identical tool/args; missing usage flagged separately,"Provider versus config list-rate differences are reconciliation diagnostics, not operational anomalies"
