experiment_id,model,run_id,case_id,trial,passed,status,actual_decision,failure_category,provider_cost_usd,provider_cost_measurement_status
openai_gpt4o_mini_v2,openai/gpt-4o-mini,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,True,completed,book,PASS,0.0021966,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,True,completed,book,PASS,0.00220215,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.001476,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0010731,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00147585,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148335,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107625,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107475,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0014763,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00150405,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148785,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0015018,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00149775,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148335,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,95189482-9616-453d-9b30-d3c411d99ad0,REF-6028,1,True,completed,book,PASS,0.00190605,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,eb3f914c-d155-4e77-a452-838ac1e5bf02,REF-6029,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00147345,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,9e74f70e-3a8c-4eb4-934c-ba7dcfbe17f5,REF-6030,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00032025,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,6c27c1b5-5d75-4604-b6e9-b2dd04d73b93,REF-6031,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00147015,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,43900332-ff5b-4c9a-b053-10dbfeaa00ed,REF-6032,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00147195,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,ea91ad9e-b304-4d6c-b4cf-9e363cfdf742,REF-6033,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00149205,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,60d45bc0-2487-4114-9a54-516763692a9b,REF-6035,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107445,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,695b8e67-4525-44e6-8753-a21bc16ecbd0,REF-6040,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0010629,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,fd7b4059-f8c2-4a16-9707-12880058295c,REF-6041,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0010668,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,82cf6488-5644-40fb-83dd-7229a40dc100,REF-6042,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0014568,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,6213397a-7af7-42fa-874c-5be19ef602d2,REF-6043,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00146175,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,b993010f-31d8-497c-bdc4-e575b1d91555,REF-6044,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148155,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,5a5b7108-c730-4f9f-b73b-254070895e48,REF-6045,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00146445,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,daa653bc-9b13-4fc5-9678-955ff7a86339,REF-6046,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00031905,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,d4d2e385-85f3-4293-91d6-22968f825762,REF-6050,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107535,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,185ea191-e02b-4d3c-b43f-0c40e5dce9a5,REF-6051,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0014793,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,4e6daa51-3618-41ad-a068-15b570e1faf7,REF-6052,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148455,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,49a71457-7899-4250-b62c-f9ed01da435f,REF-6053,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107565,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,5f72ac52-01b8-44ef-8dca-2256e9387f9b,REF-6054,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0014868,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,03857ba5-0e2a-4cfa-8d19-ae287a917ba5,REF-6055,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.0014724,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,983e61a2-ff01-4725-a329-aa5a965054e0,REF-6060,1,True,completed,escalate,PASS,0.0010623,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,6857db26-7ef6-4c14-a004-8a0b272fa375,REF-6060,2,True,completed,escalate,PASS,0.0010155,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,3daec7a8-f0e2-4488-a5e4-5c12049a30a8,REF-6060,3,True,completed,escalate,PASS,0.0010143,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,1a3042a7-fd63-4e23-937c-37b417385b2b,REF-6061,1,True,completed,request_information,PASS,0.00106785,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,7f0ff37a-21f9-4186-a8f4-f89e26ad1574,REF-6061,2,True,completed,request_information,PASS,0.00101745,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,3d71e27c-f057-4940-808d-d6f2e3ec1322,REF-6061,3,True,completed,request_information,PASS,0.00101745,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,9158568a-32f4-462c-b3dc-4a015ad2fbd9,REF-6062,1,True,completed,escalate,PASS,0.00105765,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,22233407-6fe3-43c7-96fc-1e11411885c3,REF-6062,2,True,completed,escalate,PASS,0.0010296,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,79a8bf9d-3a86-4cfc-a81f-394685c08a47,REF-6062,3,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00030945,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,6ac0b618-99dd-428d-9459-f0d90719f6f7,REF-6063,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00031905,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,04d787e5-fa78-44db-a6b4-1890ef1b4f76,REF-6063,2,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00030945,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,99fd0d2d-fa08-4612-8264-1b85bc17bd56,REF-6063,3,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00031065,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,f08e49cd-b239-45c6-b50a-05e11e8f937c,REF-6064,1,True,completed,escalate,PASS,0.00143385,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,3d2dbc17-a639-4847-9a2f-9609e17925c6,REF-6064,2,True,completed,escalate,PASS,0.00140295,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,126a5735-4e9a-4415-8089-31416d934d7a,REF-6064,3,True,completed,escalate,PASS,0.00143295,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,268d3555-6b59-4bc7-8808-ed0f3ca6a507,REF-6065,1,True,guardrail_stopped,escalate,PASS,0.00067875,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,cdb26546-f466-43ee-8913-c1ef80e9eab8,REF-6065,2,True,guardrail_stopped,escalate,PASS,0.00065715,PROVIDER_REPORTED
openai_gpt4o_mini_v2,openai/gpt-4o-mini,7ae9b9a7-8fab-44b3-b7b9-5c4ca88a17a1,REF-6065,3,True,guardrail_stopped,escalate,PASS,0.00065895,PROVIDER_REPORTED
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,c0ad2f79-9d52-4611-be92-32b2b321e4bb,REF-6002,1,True,completed,book,PASS,0.00136585,PROVIDER_REPORTED
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,efd943a7-1780-4437-aa97-a13cda2bd293,REF-6003,1,True,completed,book,PASS,0.00174231,PROVIDER_REPORTED
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,REF-6004,1,True,completed,book,PASS,0.00164232,PROVIDER_REPORTED
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,51e56e00-95d2-419b-964c-6322c02a9a51,REF-6005,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00107508,PROVIDER_REPORTED
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,7be433c7-1a88-4af2-bcb3-4b80a35c3118,REF-6006,1,False,invalid_model_output,,INVALID_MODEL_OUTPUT,0.00148993,PROVIDER_REPORTED
