experiment_id,run_id,case_id,trial,call_ordinal,turn,tool_name,call_id,arguments_json,descriptor_version,ok,error_code,latency_ms,observation_chars_local,observation_size_local_estimated_chars_div_4,observation_size_local_status,observation_chars_recomputed,recomputed_chars_match_local,observation_offline_lexical_units_recomputed,recomputed_measurement_status,provider_tokenization_status,reference_segmentation_method,observation_payload_saved
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,1,1,get_referral,1,"{""referral_id"":""REF-6002""}",v2,True,,2.723,288,72,ESTIMATED,288,True,103,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6002"",""specialty"":""OPH""}",v2,True,,2.973,369,93,ESTIMATED,369,True,133,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,3,2,lookup_patient,3,"{""patient_id"":""P-6002""}",v2,True,,1.628,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,4,3,get_clinic_slots,4,"{""band"":""routine"",""specialty"":""OPH"",""window_end"":""2026-11-04"",""window_start"":""2026-09-09""}",v2,True,,1.479,453,114,ESTIMATED,453,True,225,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,5,4,book_slot,5,"{""band"":""routine"",""clinic"":""OPH-C2"",""date"":""2026-10-14"",""referral_id"":""REF-6002"",""specialty"":""OPH"",""time"":""11:20""}",v2,True,,1.328,176,44,ESTIMATED,176,True,83,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,1,1,get_referral,1,"{""referral_id"":""REF-6003""}",v2,True,,2.576,306,77,ESTIMATED,306,True,105,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6003"",""specialty"":""OPH""}",v2,True,,2.823,355,89,ESTIMATED,355,True,129,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,3,2,lookup_patient,3,"{""patient_id"":""P-6003""}",v2,True,,1.214,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,4,3,get_clinic_slots,4,"{""band"":""routine"",""specialty"":""OPH"",""window_end"":""2026-11-04"",""window_start"":""2026-09-09""}",v2,True,,1.301,453,114,ESTIMATED,453,True,225,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,5,4,book_slot,5,"{""band"":""routine"",""clinic"":""OPH-C2"",""date"":""2026-10-14"",""referral_id"":""REF-6003"",""specialty"":""OPH"",""time"":""11:20""}",v2,True,,1.31,176,44,ESTIMATED,176,True,83,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,1,1,get_referral,1,"{""referral_id"":""REF-6004""}",v2,True,,1.234,291,73,ESTIMATED,291,True,104,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6004"",""specialty"":""OPH""}",v2,True,,1.075,390,98,ESTIMATED,390,True,138,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,3,2,lookup_patient,3,"{""patient_id"":""P-6004""}",v2,True,,0.654,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""OPH"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.481,224,56,ESTIMATED,224,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,1,1,get_referral,1,"{""referral_id"":""REF-6005""}",v2,True,,0.858,296,74,ESTIMATED,296,True,104,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6005"",""specialty"":""OPH""}",v2,True,,1.359,395,99,ESTIMATED,395,True,139,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,3,2,lookup_patient,3,"{""patient_id"":""P-6005""}",v2,True,,0.728,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""OPH"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.698,224,56,ESTIMATED,224,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,1,1,get_referral,1,"{""referral_id"":""REF-6006""}",v2,True,,0.844,297,75,ESTIMATED,297,True,102,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6006"",""specialty"":""OPH""}",v2,True,,1.372,372,93,ESTIMATED,372,True,136,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,3,2,lookup_patient,3,"{""patient_id"":""P-6006""}",v2,True,,0.743,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""OPH"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.418,224,56,ESTIMATED,224,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,1,1,get_referral,1,"{""referral_id"":""REF-6007""}",v2,True,,0.853,329,83,ESTIMATED,329,True,118,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,2,2,lookup_patient,2,"{""patient_id"":""P-6007""}",v2,True,,1.212,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,3,2,check_referral_criteria,3,"{""referral_id"":""REF-6007"",""specialty"":""OPH""}",v2,True,,1.368,379,95,ESTIMATED,379,True,134,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""OPH"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.583,224,56,ESTIMATED,224,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,1,1,get_referral,1,"{""referral_id"":""REF-6008""}",v2,True,,0.818,306,77,ESTIMATED,306,True,106,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6008"",""specialty"":""OPH""}",v2,True,,1.295,389,98,ESTIMATED,389,True,138,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,3,2,lookup_patient,3,"{""patient_id"":""P-6008""}",v2,True,,0.729,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,4,3,get_clinic_slots,4,"{""band"":""urgent"",""specialty"":""OPH"",""window_end"":""2026-09-23"",""window_start"":""2026-09-09""}",v2,True,,0.547,338,85,ESTIMATED,338,True,169,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,1,1,get_referral,1,"{""referral_id"":""REF-6015""}",v2,True,,0.844,307,77,ESTIMATED,307,True,108,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
