run_id,turn,tool_name,descriptor_version,observation_tokens,observation_chars,latency_ms,ok,error_code
c0ad2f79-9d52-4611-be92-32b2b321e4bb,1,get_referral,v2,72,288,1.404,True,
c0ad2f79-9d52-4611-be92-32b2b321e4bb,2,check_referral_criteria,v2,93,369,6.761,True,
c0ad2f79-9d52-4611-be92-32b2b321e4bb,2,lookup_patient,v2,48,190,1.814,True,
c0ad2f79-9d52-4611-be92-32b2b321e4bb,3,get_clinic_slots,v2,114,453,1.324,True,
c0ad2f79-9d52-4611-be92-32b2b321e4bb,4,book_slot,v2,44,176,1.818,True,
efd943a7-1780-4437-aa97-a13cda2bd293,1,get_referral,v2,77,306,1.185,True,
efd943a7-1780-4437-aa97-a13cda2bd293,2,check_referral_criteria,v2,89,355,1.711,True,
efd943a7-1780-4437-aa97-a13cda2bd293,2,lookup_patient,v2,48,190,0.688,True,
efd943a7-1780-4437-aa97-a13cda2bd293,3,get_clinic_slots,v2,114,453,1.13,True,
efd943a7-1780-4437-aa97-a13cda2bd293,4,book_slot,v2,44,176,2.011,True,
4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,1,get_referral,v2,73,291,1.061,True,
4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,2,check_referral_criteria,v2,98,390,1.507,True,
4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,2,lookup_patient,v2,48,190,0.83,True,
4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,3,get_clinic_slots,v2,56,224,1.069,True,
4a41d147-88f7-48db-9d3c-2ca8d51ef4ea,4,book_slot,v2,44,173,2.135,True,
51e56e00-95d2-419b-964c-6322c02a9a51,1,get_referral,v2,74,296,1.262,True,
51e56e00-95d2-419b-964c-6322c02a9a51,2,check_referral_criteria,v2,99,395,0.98,True,
51e56e00-95d2-419b-964c-6322c02a9a51,2,lookup_patient,v2,48,190,0.593,True,
51e56e00-95d2-419b-964c-6322c02a9a51,3,get_clinic_slots,v2,56,224,0.617,True,
7be433c7-1a88-4af2-bcb3-4b80a35c3118,1,get_referral,v2,75,297,1.244,True,
7be433c7-1a88-4af2-bcb3-4b80a35c3118,2,check_referral_criteria,v2,93,372,1.731,True,
7be433c7-1a88-4af2-bcb3-4b80a35c3118,2,lookup_patient,v2,48,190,0.915,True,
7be433c7-1a88-4af2-bcb3-4b80a35c3118,3,get_clinic_slots,v2,56,224,0.709,True,
384b977b-29ae-47cd-830d-376496cd8a79,1,get_referral,v2,83,329,1.295,True,
384b977b-29ae-47cd-830d-376496cd8a79,2,check_referral_criteria,v2,95,379,1.34,True,
384b977b-29ae-47cd-830d-376496cd8a79,2,lookup_patient,v2,48,190,0.696,True,
384b977b-29ae-47cd-830d-376496cd8a79,3,get_clinic_slots,v2,56,224,0.604,True,
59ff60ce-7bdf-4820-95c6-0dcbc691cae9,1,get_referral,v2,77,306,1.163,True,
59ff60ce-7bdf-4820-95c6-0dcbc691cae9,2,check_referral_criteria,v2,98,389,1.407,True,
59ff60ce-7bdf-4820-95c6-0dcbc691cae9,2,lookup_patient,v2,48,190,0.864,True,
59ff60ce-7bdf-4820-95c6-0dcbc691cae9,3,get_clinic_slots,v2,85,338,0.71,True,
59ff60ce-7bdf-4820-95c6-0dcbc691cae9,4,book_slot,v2,44,175,1.578,True,
f7433f5d-8ef1-4d36-8f04-67fbfc889f30,1,get_referral,v2,77,307,1.289,True,
f7433f5d-8ef1-4d36-8f04-67fbfc889f30,2,check_referral_criteria,v2,100,398,1.264,True,
f7433f5d-8ef1-4d36-8f04-67fbfc889f30,2,lookup_patient,v2,48,190,0.74,True,
f7433f5d-8ef1-4d36-8f04-67fbfc889f30,3,get_clinic_slots,v2,58,229,0.709,True,
f7433f5d-8ef1-4d36-8f04-67fbfc889f30,4,book_slot,v2,45,178,1.812,True,
2c26f69d-3dc1-4df1-be7e-991c1857ce1b,1,get_referral,v2,75,297,1.139,True,
2c26f69d-3dc1-4df1-be7e-991c1857ce1b,2,check_referral_criteria,v2,100,398,1.504,True,
2c26f69d-3dc1-4df1-be7e-991c1857ce1b,2,lookup_patient,v2,48,190,0.845,True,
2c26f69d-3dc1-4df1-be7e-991c1857ce1b,3,get_clinic_slots,v2,58,229,0.674,True,
6dbeab32-3663-4a08-b137-3350edf694e7,1,get_referral,v2,74,293,1.113,True,
6dbeab32-3663-4a08-b137-3350edf694e7,2,check_referral_criteria,v2,100,398,1.526,True,
