experiment_id,model,metric,median,p2_5,p97_5,iterations,seed,method,measurement_status
openai_gpt4o_mini_v2,openai/gpt-4o-mini,trial_weighted_pass_rate,0.32608695652173914,0.13636363636363635,0.5,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
openai_gpt4o_mini_v2,openai/gpt-4o-mini,ai_cost,0.0012061026442307691,0.0010392108692528737,0.0013702224456521737,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
openai_gpt4o_mini_v2,openai/gpt-4o-mini,fallback_cost,6.177536231884058,4.583333333333333,7.916666666666666,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
openai_gpt4o_mini_v2,openai/gpt-4o-mini,expected_cost_per_referral,6.178929252536232,4.584540203475575,7.917806501922348,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
openai_gpt4o_mini_v2,openai/gpt-4o-mini,monthly_cost,24715.717010144926,18338.160813902297,31671.22600768939,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,trial_weighted_pass_rate,0.54,0.36666666666666664,0.7222222222222222,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,ai_cost,0.0014692302724358974,0.0013262322405503978,0.0016113861363636363,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,fallback_cost,4.216666666666666,2.5462962962962963,5.8055555555555545,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,expected_cost_per_referral,4.218155740566665,2.5477779597546295,5.806945201822221,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,monthly_cost,16872.62296226666,10191.111839018518,23227.780807288884,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,trial_weighted_pass_rate,0.72,0.5344827586206896,0.8863636363636364,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,ai_cost,0.001950757723076923,0.0017620524791666667,0.002136803352272727,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,fallback_cost,2.566666666666667,1.0416666666666667,4.267241379310345,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,expected_cost_per_referral,2.5686542095666667,1.0437287661837122,4.269079939034484,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,monthly_cost,10274.61683826667,4174.915064734849,17076.31975613793,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
gemini2_5_flash_v2,google/gemini-2.5-flash,trial_weighted_pass_rate,0.7592592592592593,0.5833333333333334,0.9,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
gemini2_5_flash_v2,google/gemini-2.5-flash,ai_cost,0.003488629431089744,0.002849936189655172,0.004220008011363635,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
gemini2_5_flash_v2,google/gemini-2.5-flash,fallback_cost,2.2067901234567895,0.9166666666666664,3.8194444444444438,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
gemini2_5_flash_v2,google/gemini-2.5-flash,expected_cost_per_referral,2.2105910216049374,0.9201060733766664,3.8225618058017354,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
gemini2_5_flash_v2,google/gemini-2.5-flash,monthly_cost,8842.364086419751,3680.4242935066654,15290.247223206941,5000,6201,case_id cluster resampling with all within-case trials,EVALUATION_SAMPLE_UNCERTAINTY_ONLY
