experiment_id,failure_category,run_count,measurement_status
openai_gpt4o_mini_v2,INVALID_MODEL_OUTPUT,35,MEASURED_FROM_FROZEN_D5
openai_gpt4o_mini_v2,PASS,17,MEASURED_FROM_FROZEN_D5
qwen3_30b_v2,INVALID_MODEL_OUTPUT,14,MEASURED_FROM_FROZEN_D5
qwen3_30b_v2,OTHER_SCORED_FAILURE,7,MEASURED_FROM_FROZEN_D5
qwen3_30b_v2,PASS,28,MEASURED_FROM_FROZEN_D5
qwen3_30b_v2,WRONG_FINAL_DECISION,3,MEASURED_FROM_FROZEN_D5
mistral_small_3_2_v2,OTHER_SCORED_FAILURE,15,MEASURED_FROM_FROZEN_D5
mistral_small_3_2_v2,PASS,37,MEASURED_FROM_FROZEN_D5
gemini2_5_flash_v2,INVALID_MODEL_OUTPUT,6,MEASURED_FROM_FROZEN_D5
gemini2_5_flash_v2,OTHER_SCORED_FAILURE,7,MEASURED_FROM_FROZEN_D5
gemini2_5_flash_v2,PASS,39,MEASURED_FROM_FROZEN_D5
claude_opus5_frontier_negative_v2,INVALID_MODEL_OUTPUT,8,MEASURED_FROM_FROZEN_D5
claude_opus5_frontier_negative_v2,PASS,10,MEASURED_FROM_FROZEN_D5
qwen3_30b_v1,INVALID_MODEL_OUTPUT,26,MEASURED_FROM_FROZEN_D5
qwen3_30b_v1,OTHER_SCORED_FAILURE,6,MEASURED_FROM_FROZEN_D5
qwen3_30b_v1,PASS,20,MEASURED_FROM_FROZEN_D5
