experiment_id,model,scenario,base_trial_weighted_pass_rate,scenario_pass_rate,ai_cost_per_referral,fallback_cost_per_referral,expected_cost_per_referral,monthly_variable_cost,fixed_monthly_cost,measurement_status
openai_gpt4o_mini_v2,openai/gpt-4o-mini,LOW,0.3269230769230769,0.22692307692307692,0.0012000028846153846,7.086538461538462,7.087738464423077,28350.953857692308,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
openai_gpt4o_mini_v2,openai/gpt-4o-mini,BASE,0.3269230769230769,0.3269230769230769,0.0012000028846153846,6.169871794871795,6.17107179775641,24684.28719102564,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
openai_gpt4o_mini_v2,openai/gpt-4o-mini,HIGH,0.3269230769230769,0.42692307692307696,0.0012000028846153846,5.253205128205128,5.254405131089743,21017.620524358972,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,LOW,0.5384615384615384,0.43846153846153846,0.0014655825,5.147435897435897,5.148901479935897,20595.605919743586,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,BASE,0.5384615384615384,0.5384615384615384,0.0014655825,4.230769230769231,4.232234813269231,16928.939253076922,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
qwen3_30b_v2,qwen/qwen3-30b-a3b-instruct-2507,HIGH,0.5384615384615384,0.6384615384615384,0.0014655825,3.3141025641025643,3.315568146602564,13262.272586410256,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,LOW,0.7115384615384616,0.6115384615384616,0.0019450096153846154,3.5608974358974352,3.56284244551282,14251.369782051279,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,BASE,0.7115384615384616,0.7115384615384616,0.0019450096153846154,2.6442307692307687,2.6461757788461533,10584.703115384613,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
mistral_small_3_2_v2,mistralai/mistral-small-3.2-24b-instruct,HIGH,0.7115384615384616,0.8115384615384615,0.0019450096153846154,1.7275641025641024,1.729509112179487,6918.036448717948,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
gemini2_5_flash_v2,google/gemini-2.5-flash,LOW,0.75,0.65,0.0034841403846153844,3.208333333333333,3.2118174737179483,12847.269894871793,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
gemini2_5_flash_v2,google/gemini-2.5-flash,BASE,0.75,0.75,0.0034841403846153844,2.2916666666666665,2.295150807051282,9180.603228205127,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
gemini2_5_flash_v2,google/gemini-2.5-flash,HIGH,0.75,0.85,0.0034841403846153844,1.3750000000000002,1.3784841403846155,5513.936561538462,0,PROVIDER_REPORTED_AI_PLUS_ASSUMED_FALLBACK
