case_id,negative_case,passed,turns,tokens_in,tokens_out,cost_usd,cap_hit
REF-6002,False,True,4,22537,344,0.0023913,False
REF-6003,False,True,4,22544,344,0.002392,False
REF-6004,False,True,4,22438,342,0.0023806,False
REF-6005,False,True,4,22446,342,0.0023814,False
REF-6006,False,True,4,22430,342,0.0023798,False
REF-6007,False,True,4,22468,342,0.0023836,False
REF-6008,False,True,4,22510,343,0.0023882,False
REF-6015,False,True,4,22467,347,0.0023855,False
REF-6016,False,True,4,22458,347,0.0023846,False
REF-6017,False,True,4,22454,347,0.0023842,False
REF-6018,False,True,4,22454,344,0.002383,False
REF-6019,False,True,4,22472,344,0.0023848,False
REF-6020,False,True,4,22467,344,0.0023843,False
REF-6022,False,True,4,22552,347,0.002394,False
REF-6028,False,True,4,22472,345,0.0023852,False
REF-6029,False,True,4,22495,345,0.0023875,False
REF-6030,False,True,4,22479,345,0.0023859,False
REF-6031,False,True,4,22418,342,0.0023786,False
REF-6032,False,True,4,22442,342,0.002381,False
REF-6033,False,True,4,22413,342,0.0023781,False
REF-6035,False,True,4,22446,344,0.0023822,False
REF-6040,False,True,4,22395,346,0.0023779,False
REF-6041,False,True,4,22401,346,0.0023785,False
REF-6042,False,True,4,22392,346,0.0023776,False
REF-6043,False,True,4,22394,346,0.0023778,False
REF-6044,False,True,4,22335,344,0.0023711,False
REF-6045,False,True,4,22350,344,0.0023726,False
REF-6046,False,True,4,22334,344,0.002371,False
REF-6050,False,True,4,22456,347,0.0023844,False
REF-6051,False,True,4,22469,347,0.0023857,False
REF-6052,False,True,4,22463,347,0.0023851,False
REF-6053,False,True,4,22465,347,0.0023853,False
REF-6054,False,True,4,22471,344,0.0023847,False
REF-6055,False,True,4,22471,344,0.0023847,False
REF-6060,True,True,2,12887,174,0.0013583,False
REF-6061,True,True,2,12908,187,0.0013656,False
REF-6062,True,True,2,12878,180,0.0013598,False
REF-6063,True,True,2,12886,185,0.0013626,False
REF-6064,True,True,3,17495,244,0.0018471,False
REF-6065,True,True,2,8350,126,0.0008854,False
