run_id,turn,tool_name,descriptor_version,observation_tokens,observation_chars,latency_ms,ok,error_code
7fc04657-50f1-47a8-a31c-3700e15507e4,1,get_referral,v2,77,308,1.279,True,
123e3005-71ff-4b85-a4e6-0044892b7f10,1,get_referral,v2,77,308,0.264,True,
123e3005-71ff-4b85-a4e6-0044892b7f10,2,check_referral_criteria,v2,103,410,0.983,True,
123e3005-71ff-4b85-a4e6-0044892b7f10,2,lookup_patient,v2,48,190,0.588,True,
24acde9f-b603-4838-a314-040f31bd62e2,1,get_referral,v2,79,313,0.263,True,
24acde9f-b603-4838-a314-040f31bd62e2,2,check_referral_criteria,v2,121,484,0.609,True,
24acde9f-b603-4838-a314-040f31bd62e2,2,lookup_patient,v2,48,190,0.227,True,
900020b3-b935-4739-9467-306f1feb773e,1,get_referral,v2,79,313,0.266,True,
900020b3-b935-4739-9467-306f1feb773e,2,check_referral_criteria,v2,121,484,0.34,True,
900020b3-b935-4739-9467-306f1feb773e,2,lookup_patient,v2,48,190,0.21,True,
5ae72843-4ebb-4a94-bf71-e7a81b1fa01e,1,get_referral,v2,71,284,0.261,True,
5ae72843-4ebb-4a94-bf71-e7a81b1fa01e,2,check_referral_criteria,v2,92,366,0.39,True,
5ae72843-4ebb-4a94-bf71-e7a81b1fa01e,2,lookup_patient,v2,62,247,0.22,True,
b49725cb-1511-4456-b441-54f87d604f07,1,get_referral,v2,71,284,0.716,True,
b49725cb-1511-4456-b441-54f87d604f07,2,check_referral_criteria,v2,92,366,0.39,True,
b49725cb-1511-4456-b441-54f87d604f07,2,lookup_patient,v2,62,247,0.222,True,
d9b5e257-6a5f-46b6-99af-7de47b21e2af,1,get_referral,v2,80,319,1.867,True,
d9b5e257-6a5f-46b6-99af-7de47b21e2af,2,check_referral_criteria,v2,96,383,0.528,True,
d9b5e257-6a5f-46b6-99af-7de47b21e2af,2,lookup_patient,v2,48,190,1.315,True,
e7832302-c098-4806-a8d3-a2a33b52d883,1,get_referral,v2,80,319,0.436,True,
e7832302-c098-4806-a8d3-a2a33b52d883,2,check_referral_criteria,v2,96,383,0.336,True,
e7832302-c098-4806-a8d3-a2a33b52d883,2,lookup_patient,v2,48,190,0.761,True,
3631154a-a4da-485d-888c-df8050ab4043,1,get_referral,v2,62,248,0.409,True,
3631154a-a4da-485d-888c-df8050ab4043,2,check_referral_criteria,v2,86,342,0.386,True,
3631154a-a4da-485d-888c-df8050ab4043,2,lookup_patient,v2,48,190,0.239,True,
3631154a-a4da-485d-888c-df8050ab4043,3,get_clinic_slots,v2,32,125,0.431,True,
db10198f-7a85-4c6d-b5d3-1bff580f0332,1,get_referral,v2,62,248,0.396,True,
db10198f-7a85-4c6d-b5d3-1bff580f0332,2,check_referral_criteria,v2,86,342,0.362,True,
db10198f-7a85-4c6d-b5d3-1bff580f0332,2,lookup_patient,v2,48,190,0.244,True,
db10198f-7a85-4c6d-b5d3-1bff580f0332,3,get_clinic_slots,v2,32,125,0.181,True,
ef0cecd2-0e02-406a-8a2d-f75f8faed55b,1,get_referral,v2,62,248,1.3,True,
245e39c6-05ac-414e-a503-2a57bf3e71e9,1,get_referral,v2,84,334,0.549,True,
c221072c-e319-4243-943a-9f398d37041f,1,get_referral,v2,84,334,0.532,True,
c221072c-e319-4243-943a-9f398d37041f,2,check_referral_criteria,v2,104,415,0.806,True,
