run_id,turn,tool_name,descriptor_version,observation_tokens,observation_chars,latency_ms,ok,error_code
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,1,get_referral,v2,72,288,2.826,True,
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,2,lookup_patient,v2,48,190,3.286,True,
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,2,check_referral_criteria,v2,93,369,2.635,True,
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,3,get_clinic_slots,v2,114,453,1.86,True,
ec45edd9-7a8e-45a1-b3b5-9ae69aeb912d,4,book_slot,v2,44,176,2.012,True,
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,1,get_referral,v2,77,306,2.556,True,
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,2,lookup_patient,v2,48,190,1.586,True,
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,2,check_referral_criteria,v2,89,355,1.847,True,
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,3,get_clinic_slots,v2,114,453,1.397,True,
3a2d0b10-104a-4ac4-a204-d61ff58f1c00,4,book_slot,v2,44,176,1.346,True,
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,1,get_referral,v2,73,291,0.937,True,
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,2,lookup_patient,v2,48,190,0.811,True,
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,2,check_referral_criteria,v2,98,390,0.928,True,
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,3,get_clinic_slots,v2,56,224,0.412,True,
f5487516-d45a-4d89-a11d-7b8a0e1a2c3f,4,book_slot,v2,44,173,1.276,True,
dd479305-1b39-43e0-9208-183f6586963e,1,get_referral,v2,74,296,1.231,True,
dd479305-1b39-43e0-9208-183f6586963e,2,lookup_patient,v2,48,190,0.592,True,
dd479305-1b39-43e0-9208-183f6586963e,2,check_referral_criteria,v2,99,395,0.775,True,
dd479305-1b39-43e0-9208-183f6586963e,3,get_clinic_slots,v2,56,224,0.767,True,
dd479305-1b39-43e0-9208-183f6586963e,4,book_slot,v2,44,173,1.348,True,
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,1,get_referral,v2,75,297,1.493,True,
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,2,lookup_patient,v2,48,190,0.763,True,
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,2,check_referral_criteria,v2,93,372,0.677,True,
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,3,get_clinic_slots,v2,56,224,0.765,True,
54ab2e3c-7631-4e25-8163-7f4c6cb96c24,4,book_slot,v2,44,173,1.706,True,
821c1cb2-201a-4175-8502-9c43f5d3e729,1,get_referral,v2,83,329,0.812,True,
821c1cb2-201a-4175-8502-9c43f5d3e729,2,lookup_patient,v2,48,190,0.903,True,
821c1cb2-201a-4175-8502-9c43f5d3e729,2,check_referral_criteria,v2,95,379,0.974,True,
821c1cb2-201a-4175-8502-9c43f5d3e729,3,get_clinic_slots,v2,56,224,0.431,True,
821c1cb2-201a-4175-8502-9c43f5d3e729,4,book_slot,v2,44,173,1.27,True,
d7141266-e228-4659-9556-0adab08cc53f,1,get_referral,v2,77,306,0.831,True,
d7141266-e228-4659-9556-0adab08cc53f,2,lookup_patient,v2,48,190,0.836,True,
d7141266-e228-4659-9556-0adab08cc53f,2,check_referral_criteria,v2,98,389,0.903,True,
d7141266-e228-4659-9556-0adab08cc53f,3,get_clinic_slots,v2,85,338,0.431,True,
d7141266-e228-4659-9556-0adab08cc53f,4,book_slot,v2,44,175,1.246,True,
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,1,get_referral,v2,77,307,0.825,True,
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,2,lookup_patient,v2,48,190,1.098,True,
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,2,check_referral_criteria,v2,100,398,1.206,True,
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,3,get_clinic_slots,v2,58,229,0.474,True,
36ad7cec-f4c8-40c8-b79d-112bc4fbe76a,4,book_slot,v2,45,178,1.026,True,
e12fad43-dd3b-4576-8520-d05161183211,1,get_referral,v2,75,297,1.032,True,
e12fad43-dd3b-4576-8520-d05161183211,2,lookup_patient,v2,48,190,0.71,True,
e12fad43-dd3b-4576-8520-d05161183211,2,check_referral_criteria,v2,100,398,0.891,True,
e12fad43-dd3b-4576-8520-d05161183211,3,get_clinic_slots,v2,58,229,0.415,True,
e12fad43-dd3b-4576-8520-d05161183211,4,book_slot,v2,45,178,1.473,True,
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,1,get_referral,v2,74,293,0.875,True,
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,2,lookup_patient,v2,48,190,0.59,True,
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,2,check_referral_criteria,v2,100,398,0.792,True,
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,3,get_clinic_slots,v2,58,229,0.541,True,
953c1a19-138e-41d6-ae50-e32d1dc9f0ec,4,book_slot,v2,45,178,1.502,True,
dc6b59c2-11dc-4a26-91b2-f5c1eb988a20,1,get_referral,v2,71,284,0.489,True,
dc6b59c2-11dc-4a26-91b2-f5c1eb988a20,2,lookup_patient,v2,48,190,0.514,True,
dc6b59c2-11dc-4a26-91b2-f5c1eb988a20,2,check_referral_criteria,v2,105,417,0.572,True,
dc6b59c2-11dc-4a26-91b2-f5c1eb988a20,3,get_clinic_slots,v2,57,226,0.415,True,
dc6b59c2-11dc-4a26-91b2-f5c1eb988a20,4,book_slot,v2,44,175,1.484,True,
d58eebdf-ae79-4517-907a-73b62291dc0d,1,get_referral,v2,75,297,1.046,True,
d58eebdf-ae79-4517-907a-73b62291dc0d,2,lookup_patient,v2,48,190,0.97,True,
d58eebdf-ae79-4517-907a-73b62291dc0d,2,check_referral_criteria,v2,106,424,1.397,True,
d58eebdf-ae79-4517-907a-73b62291dc0d,3,get_clinic_slots,v2,57,226,0.416,True,
d58eebdf-ae79-4517-907a-73b62291dc0d,4,book_slot,v2,44,175,1.261,True,
7b3942a0-a75c-4bd1-bac7-c794df0b317f,1,get_referral,v2,76,302,0.838,True,
7b3942a0-a75c-4bd1-bac7-c794df0b317f,2,lookup_patient,v2,48,190,1.123,True,
7b3942a0-a75c-4bd1-bac7-c794df0b317f,2,check_referral_criteria,v2,103,412,1.152,True,
7b3942a0-a75c-4bd1-bac7-c794df0b317f,3,get_clinic_slots,v2,57,226,0.508,True,
7b3942a0-a75c-4bd1-bac7-c794df0b317f,4,book_slot,v2,44,175,1.212,True,
410ead53-0249-480c-bfec-30b053827510,1,get_referral,v2,70,277,0.964,True,
410ead53-0249-480c-bfec-30b053827510,2,lookup_patient,v2,48,190,0.814,True,
410ead53-0249-480c-bfec-30b053827510,2,check_referral_criteria,v2,94,373,0.914,True,
410ead53-0249-480c-bfec-30b053827510,3,get_clinic_slots,v2,85,340,0.452,True,
410ead53-0249-480c-bfec-30b053827510,4,book_slot,v2,44,176,1.249,True,
4bf81ddf-de13-4b57-a364-47ae7280d71e,1,get_referral,v2,74,296,0.909,True,
4bf81ddf-de13-4b57-a364-47ae7280d71e,2,lookup_patient,v2,48,190,0.721,True,
4bf81ddf-de13-4b57-a364-47ae7280d71e,2,check_referral_criteria,v2,95,378,0.899,True,
4bf81ddf-de13-4b57-a364-47ae7280d71e,3,get_clinic_slots,v2,85,340,0.226,True,
4bf81ddf-de13-4b57-a364-47ae7280d71e,4,book_slot,v2,44,176,1.811,True,
446ec759-5567-47e9-b55f-bdf6f11b5be5,1,get_referral,v2,73,290,0.892,True,
446ec759-5567-47e9-b55f-bdf6f11b5be5,2,lookup_patient,v2,48,190,0.772,True,
446ec759-5567-47e9-b55f-bdf6f11b5be5,2,check_referral_criteria,v2,92,366,0.915,True,
446ec759-5567-47e9-b55f-bdf6f11b5be5,3,get_clinic_slots,v2,85,340,0.319,True,
446ec759-5567-47e9-b55f-bdf6f11b5be5,4,book_slot,v2,44,176,0.875,True,
b346c639-9f3c-4c50-bfd4-a585fb40f42e,1,get_referral,v2,69,274,1.151,True,
b346c639-9f3c-4c50-bfd4-a585fb40f42e,2,lookup_patient,v2,48,190,1.058,True,
