run_id,turn,tool_name,descriptor_version,observation_tokens,observation_chars,latency_ms,ok,error_code
29f8b969-ae27-4b27-97ad-4d02cdaef391,1,get_referral,v2,72,288,2.723,True,
29f8b969-ae27-4b27-97ad-4d02cdaef391,2,check_referral_criteria,v2,93,369,2.973,True,
29f8b969-ae27-4b27-97ad-4d02cdaef391,2,lookup_patient,v2,48,190,1.628,True,
29f8b969-ae27-4b27-97ad-4d02cdaef391,3,get_clinic_slots,v2,114,453,1.479,True,
29f8b969-ae27-4b27-97ad-4d02cdaef391,4,book_slot,v2,44,176,1.328,True,
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,1,get_referral,v2,77,306,2.576,True,
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,2,check_referral_criteria,v2,89,355,2.823,True,
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,2,lookup_patient,v2,48,190,1.214,True,
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,3,get_clinic_slots,v2,114,453,1.301,True,
fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,4,book_slot,v2,44,176,1.31,True,
2373a73d-ca6e-41c6-99e0-ef8caf1a728e,1,get_referral,v2,73,291,1.234,True,
2373a73d-ca6e-41c6-99e0-ef8caf1a728e,2,check_referral_criteria,v2,98,390,1.075,True,
2373a73d-ca6e-41c6-99e0-ef8caf1a728e,2,lookup_patient,v2,48,190,0.654,True,
2373a73d-ca6e-41c6-99e0-ef8caf1a728e,3,get_clinic_slots,v2,56,224,0.481,True,
1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,1,get_referral,v2,74,296,0.858,True,
1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,2,check_referral_criteria,v2,99,395,1.359,True,
1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,2,lookup_patient,v2,48,190,0.728,True,
1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,3,get_clinic_slots,v2,56,224,0.698,True,
8fd03770-1449-4e1e-9f8c-1db033f6676e,1,get_referral,v2,75,297,0.844,True,
8fd03770-1449-4e1e-9f8c-1db033f6676e,2,check_referral_criteria,v2,93,372,1.372,True,
8fd03770-1449-4e1e-9f8c-1db033f6676e,2,lookup_patient,v2,48,190,0.743,True,
8fd03770-1449-4e1e-9f8c-1db033f6676e,3,get_clinic_slots,v2,56,224,0.418,True,
d9737064-67a4-4e97-af25-0506be51f37e,1,get_referral,v2,83,329,0.853,True,
d9737064-67a4-4e97-af25-0506be51f37e,2,lookup_patient,v2,48,190,1.212,True,
d9737064-67a4-4e97-af25-0506be51f37e,2,check_referral_criteria,v2,95,379,1.368,True,
d9737064-67a4-4e97-af25-0506be51f37e,3,get_clinic_slots,v2,56,224,0.583,True,
94d55b86-124e-4120-88df-012aa93630f8,1,get_referral,v2,77,306,0.818,True,
94d55b86-124e-4120-88df-012aa93630f8,2,check_referral_criteria,v2,98,389,1.295,True,
94d55b86-124e-4120-88df-012aa93630f8,2,lookup_patient,v2,48,190,0.729,True,
94d55b86-124e-4120-88df-012aa93630f8,3,get_clinic_slots,v2,85,338,0.547,True,
75c9bbd8-83d3-40f2-a371-108f854a8ecc,1,get_referral,v2,77,307,0.844,True,
75c9bbd8-83d3-40f2-a371-108f854a8ecc,2,check_referral_criteria,v2,100,398,1.007,True,
75c9bbd8-83d3-40f2-a371-108f854a8ecc,2,lookup_patient,v2,48,190,0.654,True,
75c9bbd8-83d3-40f2-a371-108f854a8ecc,3,get_clinic_slots,v2,58,229,0.429,True,
1f1357b9-a9cd-4235-a661-780b5d693c6c,1,get_referral,v2,75,297,0.817,True,
1f1357b9-a9cd-4235-a661-780b5d693c6c,2,check_referral_criteria,v2,100,398,1.02,True,
1f1357b9-a9cd-4235-a661-780b5d693c6c,2,lookup_patient,v2,48,190,0.646,True,
1f1357b9-a9cd-4235-a661-780b5d693c6c,3,get_clinic_slots,v2,58,229,0.408,True,
982e1f15-01af-452b-ba9a-fcd5f7f105ce,1,get_referral,v2,74,293,0.848,True,
982e1f15-01af-452b-ba9a-fcd5f7f105ce,2,check_referral_criteria,v2,100,398,1.214,True,
982e1f15-01af-452b-ba9a-fcd5f7f105ce,2,lookup_patient,v2,48,190,0.753,True,
982e1f15-01af-452b-ba9a-fcd5f7f105ce,3,get_clinic_slots,v2,58,229,0.532,True,
c37efe5c-1557-4ce2-9e4f-a163ee428fbf,1,get_referral,v2,71,284,1.219,True,
c37efe5c-1557-4ce2-9e4f-a163ee428fbf,2,check_referral_criteria,v2,105,417,1.178,True,
c37efe5c-1557-4ce2-9e4f-a163ee428fbf,2,lookup_patient,v2,48,190,0.638,True,
c37efe5c-1557-4ce2-9e4f-a163ee428fbf,3,get_clinic_slots,v2,57,226,0.546,True,
aef382d7-fdd4-4a43-b198-1dd4dba79a11,1,get_referral,v2,75,297,0.851,True,
aef382d7-fdd4-4a43-b198-1dd4dba79a11,2,check_referral_criteria,v2,106,424,0.993,True,
aef382d7-fdd4-4a43-b198-1dd4dba79a11,2,lookup_patient,v2,48,190,0.658,True,
aef382d7-fdd4-4a43-b198-1dd4dba79a11,3,get_clinic_slots,v2,57,226,0.624,True,
fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,1,get_referral,v2,76,302,0.802,True,
fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,2,check_referral_criteria,v2,103,412,0.571,True,
fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,2,lookup_patient,v2,48,190,0.369,True,
fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,3,get_clinic_slots,v2,57,226,0.422,True,
9ae78c78-b787-4f71-bb65-b78ca74958c3,1,get_referral,v2,79,315,0.997,True,
9ae78c78-b787-4f71-bb65-b78ca74958c3,2,check_referral_criteria,v2,107,426,1.015,True,
9ae78c78-b787-4f71-bb65-b78ca74958c3,2,lookup_patient,v2,48,190,0.641,True,
9ae78c78-b787-4f71-bb65-b78ca74958c3,3,get_clinic_slots,v2,86,342,0.444,True,
95189482-9616-453d-9b30-d3c411d99ad0,1,get_referral,v2,70,277,0.83,True,
95189482-9616-453d-9b30-d3c411d99ad0,2,check_referral_criteria,v2,94,373,1.239,True,
95189482-9616-453d-9b30-d3c411d99ad0,2,lookup_patient,v2,48,190,0.726,True,
