run_id,timestamp,case_id,trial,model,prompt_version,descriptor_version,backend,execution_mode,negative_case,expected_decision,decision,passed,failure_reason,status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,latency_ms,error,cached_input_tokens,reasoning_tokens,provider_cost_usd,calculated_cost_usd,cost_source,temperature,autonomy,prompt_hash
57eb3e70-499c-435f-b5f0-0c42943f1282,2026-09-17T13:11:53.889332Z,REF-6002,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,book,True,,completed,4,20899,601,True,0.00129317,7634.721,,3589,0,0.00129317,0.00112231,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
aed68abf-ab74-4eae-b9a3-adc1e16b7720,2026-09-17T13:12:01.525735Z,REF-6003,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16105,470,True,0.00105229,9608.178,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",7477,0,0.00105229,0.00086619,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
a1aa0b46-765e-457d-80ee-c345ead4e36f,2026-09-17T13:12:11.136814Z,REF-6004,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16012,471,True,0.00125627,13914.231,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",7148,0,0.00125627,0.0008619,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
4c0c7423-087a-4d20-92d3-4662bb84e3df,2026-09-17T13:12:25.053386Z,REF-6005,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16031,511,True,0.00121737,5700.104,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",7150,0,0.00121737,0.00087054,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
fb4f2003-a4d9-444a-9309-a8df68a2c5a5,2026-09-17T13:12:30.756486Z,REF-6006,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,book,True,,completed,4,20696,561,True,0.00178077,10944.492,,11051,0,0.00178077,0.00110481,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
ee41efc0-5b86-417f-9fdc-ce1830e08d3f,2026-09-17T13:12:41.704857Z,REF-6007,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16036,421,True,0.00164352,9404.791,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",7120,0,0.00164352,0.00085341,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
55b42b27-a62f-4d03-84d6-3647645b7bf2,2026-09-17T13:12:51.112769Z,REF-6008,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16075,486,True,0.00086783,8805.668,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",11061,0,0.00086783,0.00086783,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
5f3c3675-2979-4c02-87ee-34dd45de4274,2026-09-17T13:12:59.921471Z,REF-6015,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16037,448,True,0.00085867,6985.305,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",15362,0,0.00085867,0.00085867,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
d4a5bf40-d4dc-462b-9743-a86898295a75,2026-09-17T13:13:06.909813Z,REF-6016,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,invalid_model_output,3,16045,451,True,0.00131828,6017.362,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",11027,0,0.00131828,0.00085963,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
fd825bb7-b8e3-40ad-b4f0-0ad35245a240,2026-09-17T13:13:12.930796Z,REF-6017,1,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,live,parallel,False,book,book,True,,completed,4,20638,504,True,0.00162895,16374.645,,11416,0,0.00162895,0.00109102,provider_reported,0.0,confirm,935294b55e034fad6737dabd5ffbb100ba3b98a26edeee04d9f834bb9de012a0
